match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,winner_runs,winner_wickets,outcome,method,eliminator,player_of_match,match_number,event
335982,2007/08,2008-04-18,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,,,,,BB McCullum,1,Indian Premier League
335983,2007/08,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,33,,,,,MEK Hussey,2,Indian Premier League
335984,2007/08,2008-04-19,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,,9,,,,MF Maharoof,3,Indian Premier League
335986,2007/08,2008-04-20,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,,5,,,,DJ Hussey,4,Indian Premier League
335985,2007/08,2008-04-20,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,,5,,,,MV Boucher,5,Indian Premier League
335987,2007/08,2008-04-21,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,,6,,,,SR Watson,6,Indian Premier League
335988,2007/08,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,,9,,,,V Sehwag,7,Indian Premier League
335989,2007/08,2008-04-23,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6,,,,,ML Hayden,8,Indian Premier League
335990,2007/08,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,3,,,,YK Pathan,9,Indian Premier League
335991,2007/08,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,66,,,,,KC Sangakkara,10,Indian Premier League
335993,2007/08,2008-04-26,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,,9,,,,JDP Oram,11,Indian Premier League
335992,2007/08,2008-04-26,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,7,,,,SR Watson,12,Indian Premier League
335994,2007/08,2008-04-27,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,,10,,,,AC Gilchrist,14,Indian Premier League
335995,2007/08,2008-04-27,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,,4,,,,SM Katich,13,Indian Premier League
335996,2007/08,2008-04-28,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,13,,,,,MS Dhoni,15,Indian Premier League
335997,2007/08,2008-04-29,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,,7,,,,ST Jayasuriya,16,Indian Premier League
335998,2007/08,2008-04-30,Delhi,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,10,,,,,GD McGrath,17,Indian Premier League
335999,2007/08,2008-05-01,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,7,,,,SE Marsh,19,Indian Premier League
336000,2007/08,2008-05-01,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,45,,,,,SA Asnodkar,18,Indian Premier League
336001,2007/08,2008-05-02,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,,8,,,,V Sehwag,20,Indian Premier League
336034,2007/08,2008-05-03,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,3,,,,,P Kumar,21,Indian Premier League
336003,2007/08,2008-05-03,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,9,,,,,IK Pathan,22,Indian Premier League
336004,2007/08,2008-05-04,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,29,,,,,SM Pollock,23,Indian Premier League
336005,2007/08,2008-05-04,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,,8,,,,Sohail Tanvir,24,Indian Premier League
336006,2007/08,2008-05-05,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,6,,,,S Sreesanth,25,Indian Premier League
336007,2007/08,2008-05-06,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,,7,,,,AC Gilchrist,26,Indian Premier League
336008,2007/08,2008-05-07,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,,7,,,,A Nehra,27,Indian Premier League
336010,2007/08,2008-05-08,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,,,,,SC Ganguly,29,Indian Premier League
336009,2007/08,2008-05-08,Delhi,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,,4,,,,MS Dhoni,28,Indian Premier League
336011,2007/08,2008-05-09,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,,8,,,,YK Pathan,30,Indian Premier League
336013,2007/08,2008-05-10,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,18,,,,,L Balaji,31,Indian Premier League
336014,2007/08,2008-05-11,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,,,,,SC Ganguly,32,Indian Premier League
336015,2007/08,2008-05-11,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,,3,,,,SR Watson,33,Indian Premier League
336016,2007/08,2008-05-12,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,9,,,,SE Marsh,34,Indian Premier League
336017,2007/08,2008-05-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,,,,,Shoaib Akhtar,35,Indian Premier League
336018,2007/08,2008-05-14,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,,9,,,,ST Jayasuriya,36,Indian Premier League
336020,2007/08,2008-05-15,Delhi,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,12,,,,,A Mishra,37,Indian Premier League
336021,2007/08,2008-05-16,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,8,,,,SM Pollock,38,Indian Premier League
336023,2007/08,2008-05-17,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,65,,,,,GC Smith,39,Indian Premier League
336022,2007/08,2008-05-17,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,6,,,D/L,,DPMD Jayawardene,40,Indian Premier League
336025,2007/08,2008-05-18,Kolkata,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,3,,,D/L,,M Ntini,41,Indian Premier League
336024,2007/08,2008-05-18,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,25,,,,,DJ Bravo,42,Indian Premier League
336026,2007/08,2008-05-19,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,5,,,,SP Goswami,43,Indian Premier League
336027,2007/08,2008-05-20,Kolkata,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,6,,,,YK Pathan,44,Indian Premier League
336028,2007/08,2008-05-21,Mumbai,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,1,,,,,SE Marsh,45,Indian Premier League
336029,2007/08,2008-05-21,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14,,,,,A Kumble,46,Indian Premier League
336031,2007/08,2008-05-23,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,,6,,,,SE Marsh,48,Indian Premier League
